"Order","Family","Genus","Species","Cycle","SocialGrpSize","TrophicLevel"
"Artiodactyla","Bovidae","Bison","Bison bonasus","Crepuscular",35,"Herbivore"
"Artiodactyla","Cervidae","Blastocerus","Blastocerus dichotomus","Crepuscular",3,"Herbivore"
"Artiodactyla","Bovidae","Bos","Bos frontalis","Crepuscular",40,"Herbivore"
"Artiodactyla","Bovidae","Bos","Bos javanicus","Crepuscular",40,"Herbivore"
"Artiodactyla","Bovidae","Bos","Bos sauveli","Crepuscular",20,"Herbivore"
"Primates","Cebidae","Brachyteles","Brachyteles arachnoides","Diurnal",19.6,"Omnivore"
"Artiodactyla","Bovidae","Bubalus","Bubalus mindorensis","Crepuscular",1,"Herbivore"
"Artiodactyla","Bovidae","Bubalus","Bubalus quarlesi","Diurnal",1,"Herbivore"
"Xenarthra","Dasypodidae","Cabassous","Cabassous centralis","Nocturnal",1,"Carnivore"
"Xenarthra","Dasypodidae","Cabassous","Cabassous unicinctus","Nocturnal",1,"Carnivore"
"Primates","Cebidae","Cacajao","Cacajao calvus","Diurnal",23.7,"Omnivore"
"Primates","Cebidae","Cacajao","Cacajao melanocephalus","Diurnal",30,"Omnivore"
"Primates","Cebidae","Callicebus","Callicebus moloch","Diurnal",2.95,"Omnivore"
"Primates","Cebidae","Callicebus","Callicebus personatus","Diurnal",2.35,"Herbivore"
"Primates","Cebidae","Callicebus","Callicebus torquatus","Diurnal",3.85,"Omnivore"
"Primates","Callitrichidae","Callimico","Callimico goeldii","Diurnal",6.85,"Omnivore"
"Primates","Callitrichidae","Callithrix","Callithrix argentata","Diurnal",9.5,"Omnivore"
"Primates","Callitrichidae","Callithrix","Callithrix aurita","Diurnal",6,"Omnivore"
"Primates","Callitrichidae","Callithrix","Callithrix flaviceps","Diurnal",9.8,"Omnivore"
"Primates","Callitrichidae","Callithrix","Callithrix humeralifera","Diurnal",8.5,"Omnivore"
"Primates","Callitrichidae","Callithrix","Callithrix jacchus","Diurnal",8.55,"Omnivore"
"Primates","Callitrichidae","Callithrix","Callithrix pygmaea","Diurnal",6,"Omnivore"
"Didelphimorphia","Didelphidae","Caluromys","Caluromys derbianus","Nocturnal",1,"Omnivore"
"Didelphimorphia","Didelphidae","Caluromys","Caluromys lanatus","Nocturnal",1,"Omnivore"
"Didelphimorphia","Didelphidae","Caluromys","Caluromys philander","Nocturnal",1,"Omnivore"
